Species,Sample,Value
Fungi,Tuss3-16S-T24,0
Fungi,Tuss1-16S-T4,0
Fungi,Tuss2-16S-T4,0
Fungi,Tuss3-16S-T4,0
Fungi,WS1-16S-T0,0
Fungi,WS2-16S-T0,0
Fungi,WS3-16S-T0,0
Fungi,WS1-16S-T24,0
Fungi,WS2-16S-T24,0
Fungi,WS3-16S-T24,0
Fungi,WS1-16S-T4,0
Fungi,WS2-16S-T4,0
Fungi,WS3-16S-T4,0
